"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Rural","Area_Suburban","Area_Urban","Contract_Month_To_Month","Contract_OneYear","Contract_TwoYear","Gender_Female","Gender_Male","Gender_Nonbinary","InternetService_DSL","InternetService_FiberOptic","InternetService_None"
"27",2,26,10114.81,16.31017089,16,1,1,0,1,0,1,1,1,1,1,1,0,1,1,3.312991809,229.993134,897.5919144,4,3,5,5,2,4,5,5,0,1,0,1,0,0,1,0,0,0,1,0
"28",1,66,25397.44,16.84100845,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,9.847563364,184.964681,1113.993679,4,4,3,4,2,4,4,5,0,1,0,0,0,1,1,0,0,0,1,0
"29",3,21,38211.37,11.42906608,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,9.179779682,172.457857,1310.137419,5,2,3,3,3,5,4,4,0,0,1,1,0,0,1,0,0,0,1,0
"30",4,41,12003.33,12.54780492,11,1,2,0,1,0,1,1,1,0,0,1,1,1,0,3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4,0,1,0,0,0,1,0,1,0,0,1,0
"31",4,32,24090.62,8.255565152,13,0,0,0,1,1,1,1,0,0,0,1,0,1,1,18.55959629,192.456745,2016.710031,3,3,3,3,4,3,3,4,0,1,0,0,0,1,0,1,0,0,1,0
"32",0,22,15137.93,13.156514,6,0,0,0,1,0,1,1,1,0,0,0,1,1,1,8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4,1,0,0,0,0,1,1,0,0,0,1,0
"33",2,23,132116.33,12.50184778,11,1,0,0,1,0,1,0,1,1,0,1,0,1,1,22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3,0,1,0,1,0,0,0,1,0,0,1,0
"34",1,86,26534.16,7.868660851,11,2,2,0,1,0,1,0,0,0,0,0,1,0,0,7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3,1,0,0,0,0,1,1,0,0,0,0,1
"35",2,62,4662.37,8.957166926,13,3,0,0,1,0,1,1,0,0,1,1,0,1,0,3.343811019,184.979684,1026.387172,2,2,3,4,3,5,2,4,0,0,1,1,0,0,1,0,0,1,0,0
"36",5,68,43820.85,8.015021713,12,1,0,0,1,0,1,0,0,0,1,0,1,1,1,7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2,0,0,1,1,0,0,1,0,0,0,0,1
"37",1,59,38391.55,4.210347704,8,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5.486534225,149.962093,727.3731845,4,4,4,3,4,2,5,4,0,1,0,1,0,0,1,0,0,0,1,0
"38",0,31,44137.6,11.13960534,6,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1.55278221,169.944668,452.8721504,4,4,3,4,4,4,2,3,0,0,1,0,1,0,1,0,0,0,1,0
"39",0,51,14364.65,9.03738856,11,2,0,0,1,0,1,1,1,0,1,0,0,0,1,12.07970325,160.00128,1296.674543,4,2,4,5,4,3,3,4,0,0,1,1,0,0,0,1,0,0,1,0
"40",1,58,62359.91,10.91594785,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,13.98666226,129.962093,1840.628269,3,4,3,6,3,4,5,3,0,1,0,0,1,0,1,0,0,1,0,0
"41",1,73,82634.86,8.387624096,11,0,1,0,0,0,1,0,0,1,0,0,0,0,1,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4,0,1,0,1,0,0,0,1,0,1,0,0
"42",1,58,14568.7,10.22013704,15,2,0,0,1,0,1,1,0,0,0,1,1,1,1,15.72071086,220.14775,1868.864027,3,5,3,2,4,5,5,4,0,1,0,0,0,1,0,1,0,0,0,1
"43",1,26,55319.23,8.386280619,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4,0,1,0,0,1,0,1,0,0,1,0,0
"44",1,81,69965.65,6.081975067,15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5,1,0,0,1,0,0,0,1,0,0,0,1
"45",2,63,45634.2,9.470419821,14,1,0,0,1,0,1,1,0,1,1,0,1,0,0,7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3,0,0,1,0,0,1,0,1,0,1,0,0
"46",3,70,10964.73,6.194985909,11,0,1,0,1,0,1,1,0,0,1,1,1,1,1,4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3,0,1,0,1,0,0,1,0,0,0,1,0
"47",1,78,22365.28,10.80393657,19,1,0,0,0,0,1,0,0,0,0,0,1,1,0,10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4,0,0,1,1,0,0,0,1,0,0,1,0
"48",0,48,52636.6,7.903964267,17,0,1,0,1,1,1,1,1,0,0,0,1,0,0,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1,0,0,1,1,0,0,0,1,0,1,0,0
"49",4,60,42784.82,6.129509309,12,0,0,0,1,1,1,0,1,1,0,1,1,1,0,23.92132231,212.655686,2676.789803,5,5,6,5,3,7,5,5,0,0,1,0,1,0,1,0,0,0,0,1
"50",3,54,47507.3,4.368120492,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3,0,1,0,0,0,1,1,0,0,0,1,0
"51",2,67,81124.71,12.43301273,13,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4,1,0,0,0,1,0,1,0,0,1,0,0
"52",1,24,19038.78,13.04429298,18,1,0,0,0,1,1,1,0,0,0,0,1,1,1,24.64873861,240.114868,2660.503932,4,4,5,1,4,4,3,3,1,0,0,1,0,0,1,0,0,0,1,0
"53",0,20,79167.77,14.89762162,17,0,0,0,0,1,1,0,1,0,1,0,0,0,1,9.677739656,127.495766,1129.549713,3,4,3,4,5,4,3,3,1,0,0,1,0,0,0,1,0,0,1,0
"54",1,29,37428.26,13.79387475,13,2,1,0,1,0,1,0,0,0,0,0,1,1,0,9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4,0,0,1,0,1,0,1,0,0,1,0,0
"55",0,31,45148.38,15.66367593,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4,1,0,0,1,0,0,0,1,0,0,1,0
"56",5,72,74855.47,8.513410306,13,3,0,0,1,0,1,1,0,0,0,1,0,1,0,19.45250317,192.456745,1907.226083,4,4,4,3,1,5,4,4,0,0,1,0,0,1,1,0,0,0,1,0
"57",4,71,45323.86,8.265002035,10,1,0,0,0,1,1,0,1,0,1,1,0,0,1,14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5,0,0,1,1,0,0,0,1,0,1,0,0
"58",0,33,10389.95,6.03993035,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6,1,0,0,0,1,0,0,1,0,0,1,0
"59",3,67,19657.14,14.6040829,12,3,0,1,0,0,1,0,0,1,0,1,0,0,1,4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3,0,1,0,1,0,0,0,1,0,0,0,1
"60",0,66,27827.03,7.274007029,13,1,1,0,1,0,1,1,0,0,0,0,1,1,0,3.721772616,207.638588,777.3060718,4,3,3,6,1,4,3,3,0,1,0,1,0,0,1,0,0,0,0,1
"61",4,21,15609.05,8.913898759,12,4,0,0,1,0,1,0,0,0,0,0,1,1,1,3.76663012,187.609354,1393.202392,4,4,4,3,3,3,3,5,1,0,0,1,0,0,1,0,0,1,0,0
"62",0,63,41656.53,15.19664016,9,1,0,0,1,1,0,0,0,1,1,0,1,1,1,13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4,0,0,1,1,0,0,1,0,0,1,0,0
"63",2,32,15841.19,6.942719201,7,1,1,0,1,0,1,1,0,1,1,0,0,0,0,19.75096265,159.979358,2481.385603,2,2,3,3,3,3,3,3,0,1,0,0,0,1,0,1,0,1,0,0
"64",0,76,81127.41,9.834012571,7,1,0,0,0,1,1,1,0,0,1,1,0,1,1,18.38404445,184.979684,2233.567181,3,2,3,4,2,4,5,3,0,1,0,0,0,1,0,1,0,1,0,0
"65",0,29,24270.88,11.0596826,13,0,0,0,0,0,1,0,1,1,1,0,1,1,1,4.672610857,245.145743,1158.91369,5,5,4,5,1,5,5,4,0,1,0,1,0,0,1,0,0,0,1,0
"66",0,83,54466.33,8.834079073,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4,1,0,0,1,0,0,1,0,0,0,1,0
"67",5,80,103311.26,9.394961367,15,1,0,0,0,0,1,0,1,1,1,1,0,0,1,20.31163945,162.500692,2056.386979,5,4,4,3,4,4,5,5,1,0,0,1,0,0,0,1,0,0,1,0
"68",1,32,43466.35,13.79409442,10,1,0,0,0,0,1,1,0,0,1,0,1,0,1,11.13472066,182.467607,1397.701335,3,4,4,4,3,4,2,3,0,0,1,0,1,0,0,1,0,0,1,0
"69",0,53,23289.77,12.40165307,19,1,0,0,0,1,1,1,0,0,1,0,1,1,1,2.542296644,220.161527,808.4305471,2,4,3,2,3,3,5,3,0,0,1,1,0,0,1,0,0,0,0,1
"70",2,25,49158.49,10.24782033,9,1,0,0,0,0,1,0,0,1,0,0,0,1,1,17.22596021,169.937833,1886.531937,4,4,3,4,3,3,3,4,1,0,0,0,0,1,0,1,0,0,1,0
"71",0,69,3805.84,14.86100819,16,0,2,0,1,0,0,1,0,1,1,0,1,0,1,22.79214163,204.963371,2294.781131,3,3,3,3,2,4,4,4,0,1,0,1,0,0,0,1,0,0,1,0
"72",3,71,52616.27,6.716953195,10,2,1,0,0,0,1,1,0,1,1,0,1,0,0,3.823689744,204.963371,826.3438621,3,5,3,2,4,2,4,2,0,0,1,1,0,0,0,1,0,0,1,0
"73",3,53,30550.42,8.124258176,18,1,0,0,0,0,1,1,1,1,0,0,1,1,0,10.77094687,245.128318,2072.564168,3,3,2,4,3,2,4,3,0,0,1,1,0,0,1,0,0,1,0,0
"74",2,56,12154.01,14.60903837,11,0,2,0,0,1,1,1,0,1,0,1,1,0,1,13.08671185,172.473314,1436.793746,4,4,3,3,5,3,2,2,0,0,1,1,0,0,0,0,1,0,0,1
"75",0,42,30649.31,12.65015936,9,2,2,0,1,0,0,1,0,0,0,1,0,1,0,14.76468813,172.456745,1963.332683,4,3,4,3,5,4,2,3,0,1,0,1,0,0,0,1,0,1,0,0
"76",3,33,31417.33,12.0281501,14,0,0,0,0,0,1,1,0,0,1,1,1,0,1,9.473091121,194.976769,1324.164906,2,2,2,2,4,2,3,2,0,1,0,1,0,0,0,1,0,0,1,0
"77",1,47,55861.19,15.68043093,16,1,0,0,0,0,1,0,0,0,0,0,1,0,1,5.197446331,137.439154,704.9375603,4,4,4,4,3,3,4,3,0,0,1,1,0,0,0,1,0,0,1,0
"78",1,40,65064.31,7.56618217,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.88002366,112.455141,1606.489936,3,3,3,3,3,3,3,4,0,0,1,1,0,0,0,1,0,0,1,0
"79",0,56,35499.06,7.146124361,13,3,0,1,0,0,1,0,1,1,0,0,1,0,0,23.34617699,162.452604,2253.85247,6,5,4,4,4,3,5,3,0,0,1,1,0,0,1,0,0,0,1,0
"80",2,79,51237.28,10.61217014,12,3,0,0,0,1,1,1,0,1,1,0,1,1,1,12.58298231,275.133571,1701.457566,4,5,4,4,1,4,4,4,0,0,1,0,0,1,1,0,0,0,1,0
"81",3,61,64222.21,5.785085772,16,1,1,0,1,0,1,0,0,0,0,0,0,1,0,7.120096363,127.442069,1290.737183,4,3,4,5,3,5,4,4,1,0,0,1,0,0,0,1,0,1,0,0
"82",0,38,11014.98,9.062879297,11,2,0,1,0,0,1,0,0,1,0,1,1,1,0,9.344886869,210.138,1403.270091,4,4,4,4,3,4,4,4,0,0,1,0,0,1,0,1,0,0,0,1
"83",4,28,21172.49,16.54443477,13,1,0,1,0,0,1,1,0,1,0,0,0,0,1,22.37815032,147.456419,2603.903672,5,4,5,2,3,4,4,3,1,0,0,0,0,1,1,0,0,1,0,0
"84",3,44,26130.78,4.539566699,8,2,0,0,1,1,1,1,0,1,1,0,1,1,1,4.799514433,242.657291,1256.287854,4,4,2,3,3,4,5,5,0,0,1,0,1,0,0,1,0,0,0,1
"85",1,65,36478.21,7.251198724,14,2,0,1,0,1,1,0,0,1,0,1,0,0,1,10.04672315,114.983787,980.9935923,2,2,3,4,3,3,4,4,0,1,0,1,0,0,0,1,0,0,0,1
"86",2,31,37103.18,12.57884215,9,3,1,0,1,0,1,1,0,0,1,0,1,0,0,7.992791229,149.991327,1127.267848,2,2,3,5,5,1,2,2,0,1,0,0,0,1,1,0,0,0,0,1
"87",2,34,74679.84,11.64836306,11,0,1,1,1,1,1,1,0,0,0,0,0,0,0,7.231032028,124.960655,1269.836202,4,3,3,3,4,5,4,4,0,1,0,0,0,1,0,1,0,1,0,0
"88",0,62,34281.1,11.75681641,9,0,0,0,0,0,0,1,0,1,1,1,0,0,0,10.05306287,172.48852,1531.155367,5,5,4,2,5,3,4,3,0,0,1,0,0,1,0,1,0,1,0,0
"89",0,52,36240.81,9.173739977,14,0,1,0,1,1,1,0,1,0,1,1,0,0,0,4.171044392,120.004928,991.2441024,4,4,5,3,3,4,4,5,0,0,1,0,0,1,0,1,0,1,0,0
"90",5,32,9515.64,8.353693631,11,4,0,0,0,0,1,1,0,0,1,0,1,1,1,4.568682641,220.161527,1244.296865,2,1,2,4,3,5,3,1,0,0,1,1,0,0,0,1,0,0,0,1
"91",8,66,12995.68,11.36323648,12,1,1,0,1,0,1,0,0,0,0,1,0,1,1,2.730250735,159.951231,577.1157824,3,3,3,6,3,6,5,4,1,0,0,1,0,0,1,0,0,0,1,0
"92",1,70,77531.43,2.310584634,14,1,0,0,1,0,1,1,0,1,0,1,1,0,0,8.574901206,184.949594,1442.974877,2,3,2,4,4,2,1,3,1,0,0,1,0,0,1,0,0,1,0,0
"93",3,41,87354.99,5.290318715,10,0,0,0,1,0,1,1,0,0,1,0,1,1,1,9.743201772,252.637807,1577.208717,5,5,3,4,4,4,4,5,0,1,0,1,0,0,0,1,0,0,1,0
"94",2,59,76567.85,5.258274954,8,1,0,0,1,0,1,0,0,0,0,0,0,0,1,9.482919033,112.455141,886.9398744,4,5,4,4,4,4,5,4,0,1,0,1,0,0,0,1,0,0,1,0
"95",1,46,30663.52,7.157580014,12,0,0,0,0,0,1,1,0,1,1,0,0,0,1,8.447988841,179.979358,1065.06443,4,3,4,4,5,2,3,3,1,0,0,0,0,1,0,1,0,0,1,0
"96",3,70,122957.19,2.120350511,17,0,0,0,1,1,1,1,0,1,0,0,0,1,1,6.365998533,202.443347,951.886985,3,3,3,4,3,4,3,2,0,1,0,0,1,0,0,1,0,0,1,0
"97",1,84,28622.6,11.29945603,14,1,0,0,0,0,1,1,0,1,0,0,1,0,1,2.887429547,192.440432,513.237305,4,5,3,4,4,2,4,2,1,0,0,1,0,0,1,0,0,0,1,0
"98",3,31,19800.81,10.31551212,11,2,1,0,0,1,1,0,0,0,1,0,0,1,0,5.15825129,139.965008,1313.492851,5,5,5,4,2,3,4,3,0,0,1,0,1,0,0,1,0,1,0,0
"99",10,76,35954.77,13.71555406,14,1,0,0,0,0,1,0,0,1,0,0,0,1,1,3.237560234,137.461553,819.4195269,4,4,3,3,2,3,4,2,0,1,0,1,0,0,0,1,0,0,0,1
"100",8,75,36342.31,15.40917963,15,2,0,0,0,0,1,1,0,1,1,1,1,0,0,2.733109234,217.472533,882.1160656,5,4,4,4,3,5,5,3,1,0,0,1,0,0,0,1,0,0,1,0
"101",1,74,48715.53,11.9664542,17,1,0,0,1,1,1,0,0,1,0,1,1,1,1,3.180102025,210.138,724.7803356,2,2,3,4,2,2,3,2,1,0,0,0,0,1,0,0,1,0,0,1
"102",1,47,35302.52,14.01485542,16,1,1,0,0,0,1,1,0,1,0,0,1,1,0,11.73724209,262.610632,1668.199119,2,3,2,4,4,3,2,2,1,0,0,1,0,0,0,1,0,0,1,0
"103",1,41,33858.66,10.50187888,13,0,0,1,0,1,1,0,1,1,0,0,1,0,0,5.905906389,162.452604,951.8524406,5,5,4,3,5,4,4,4,0,0,1,1,0,0,0,1,0,0,1,0
"104",3,26,29950.47,12.34250072,12,2,1,0,1,1,1,1,1,1,0,0,0,1,1,3.260462654,184.961033,1248.097652,3,4,3,3,4,4,4,4,0,1,0,1,0,0,1,0,0,1,0,0
"105",1,46,11061.05,8.512650562,11,2,1,0,1,0,1,0,0,0,0,1,1,1,0,14.25617986,220.118516,1669.202417,3,4,4,4,2,5,3,4,0,0,1,0,0,1,1,0,0,0,1,0
"106",1,39,20624.31,6.985590245,9,2,1,1,0,1,1,0,1,1,0,1,1,0,1,5.969967132,174.961766,967.9819136,4,5,4,4,3,3,3,5,1,0,0,0,0,1,0,1,0,0,1,0
"107",0,81,47877.81,11.40449185,12,0,0,0,0,0,1,1,0,0,1,0,1,1,1,19.95277818,252.637807,2190.259876,4,4,4,4,5,3,4,3,1,0,0,0,0,1,0,1,0,0,1,0
"108",0,83,46154.17,10.44249511,13,1,0,0,1,0,1,0,1,1,1,1,0,0,0,14.85781115,130.024412,1445.752781,3,4,4,1,3,4,4,4,0,1,0,0,1,0,0,1,0,0,0,1
"109",0,50,107111.8,15.38627887,12,2,0,0,0,0,1,0,1,0,1,0,0,1,0,2.600063739,162.482694,528.6553088,3,3,2,3,4,4,4,3,0,0,1,1,0,0,1,0,0,0,1,0
"110",3,76,22412.6,10.62439366,13,0,0,0,1,0,1,0,0,1,0,0,1,0,1,5.972864167,139.934918,1195.393037,2,3,4,4,3,3,1,3,1,0,0,0,0,1,1,0,0,1,0,0
"111",3,58,87537.25,9.591529444,14,0,1,0,1,1,1,1,0,0,0,1,0,0,0,12.07358377,137.469817,1623.045026,2,3,3,4,2,4,3,5,1,0,0,0,0,1,0,1,0,1,0,0
"112",4,70,34112.1,13.36027908,12,0,0,0,1,0,1,0,0,0,1,0,1,1,1,10.21634248,187.656013,1479.730181,4,2,3,4,4,3,4,4,0,0,1,0,1,0,0,1,0,0,0,1
"113",0,53,32653.51,4.372034777,7,1,0,0,1,0,1,1,1,0,1,0,1,0,0,15.50354683,164.985293,2144.735024,3,3,3,2,7,3,4,3,0,1,0,1,0,0,0,1,0,1,0,0
"114",0,31,35321.46,10.59285179,11,0,3,0,1,0,1,0,0,0,1,0,0,1,0,13.88004531,159.965008,1522.289512,2,3,3,5,4,3,2,3,0,1,0,1,0,0,0,1,0,0,1,0
"115",0,38,49277.48,12.81260566,10,1,0,0,0,0,1,1,1,0,0,0,1,0,1,19.48900163,172.462354,1974.780054,4,4,4,5,2,4,4,3,0,1,0,0,1,0,1,0,0,0,1,0
"116",1,58,87535.71,8.54892416,15,0,1,0,1,0,1,0,1,0,0,0,1,0,0,8.850426839,119.95684,1456.887443,3,2,3,3,4,2,3,3,0,1,0,0,0,1,0,1,0,1,0,0
"117",6,51,63166.87,6.094109902,11,2,0,0,0,0,1,0,0,0,0,0,1,1,0,3.701557118,207.609354,937.5863866,3,4,4,3,4,4,3,4,1,0,0,0,1,0,1,0,0,0,1,0
"118",4,34,11856.81,13.9077275,14,1,0,0,0,0,1,1,0,1,1,1,0,1,1,2.976033785,194.999168,830.1193011,3,2,3,3,4,4,3,4,0,0,1,0,1,0,1,0,0,0,0,1
"119",1,67,12779.23,12.53830949,9,2,1,0,1,0,1,1,0,0,0,0,1,1,0,15.64596698,240.114868,1781.854862,3,4,4,3,3,5,4,3,1,0,0,1,0,0,1,0,0,0,1,0
"120",4,59,25519.91,12.8219418,12,1,1,0,0,1,1,1,0,0,0,0,1,1,1,23.00764441,240.114868,2464.577489,4,3,3,4,3,4,4,3,0,0,1,1,0,0,0,0,1,0,1,0
"121",0,42,77383.72,10.51043963,12,0,0,0,1,0,1,1,0,0,0,0,1,1,1,13.01107597,240.114868,1664.19271,3,4,4,2,4,2,5,2,0,1,0,1,0,0,0,1,0,0,1,0
"122",1,24,47395.3,11.86384439,11,3,0,0,1,0,1,1,1,1,1,1,0,1,1,5.104082209,209.993134,1433.616898,4,4,3,4,4,4,3,3,0,1,0,0,0,1,1,0,0,1,0,0
"123",8,78,135727.71,11.05420024,14,0,0,0,0,0,1,0,1,0,1,0,0,0,1,8.08137067,107.495766,1468.357421,3,3,3,3,5,2,4,3,0,1,0,1,0,0,0,1,0,1,0,0
"124",1,51,47726.25,8.174495258,8,5,0,0,0,1,1,0,1,1,1,0,0,1,1,1.875430489,152.502178,590.7765801,1,3,2,3,4,3,3,3,1,0,0,1,0,0,1,0,0,0,0,1
"125",8,56,34197.3,15.74015572,14,2,1,0,1,1,1,0,0,0,1,0,1,1,1,11.64983735,220.132293,1719.173387,5,6,4,4,2,3,5,4,0,0,1,1,0,0,1,0,0,0,1,0
"126",4,44,11518.58,13.41209586,11,3,0,1,0,0,1,0,1,1,0,0,0,1,1,2.964559883,152.455519,1205.956363,2,2,1,5,3,4,4,3,0,1,0,0,0,1,0,1,0,1,0,0
"127",0,33,31065.17,14.89835355,9,2,1,0,0,0,1,0,1,1,0,1,1,0,0,10.25635754,174.961766,1261.032763,4,3,4,4,3,3,5,4,0,0,1,1,0,0,1,0,0,0,1,0
