"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Churn","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Suburban","Area_Urban","Contract_OneYear","Contract_TwoYear","Gender_Male","Gender_Nonbinary","InternetService_FiberOptic","InternetService_None"
"17",1,47,8762.23,15.8626095,15,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,222.649979,1506.446527,5,3,5,3,3,5,4,4,0,0,0,0,0,0,1,0
"18",3,20,10482.52,13.43558029,13,2,0,1,0,0,1,0,0,0,1,0,1,1,0,1,200.132293,1259.415493,3,4,3,3,2,4,4,2,0,1,1,0,0,0,0,0
"19",9,45,43383.54,6.613070806,14,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,230.105118,1795.465729,3,2,1,5,3,3,3,2,0,1,0,1,1,0,1,0
"20",0,40,21793.88,4.450171647,13,2,0,0,0,1,1,1,0,1,0,1,0,0,0,0,147.489301,492.4771472,2,3,4,3,3,2,4,3,0,0,0,1,0,0,0,1
"21",6,82,51960.51,8.774646693,9,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,230.105118,1013.993166,4,4,4,5,2,5,3,5,0,0,0,0,0,0,1,0
"22",5,74,25942.1,11.13156721,8,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,174.958118,2680.762173,5,5,4,3,5,3,4,1,0,0,0,0,1,0,0,0
"23",2,26,10114.81,16.31017089,16,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,229.993134,897.5919144,4,3,5,5,2,4,5,5,1,0,0,0,0,0,1,0
"24",1,25,36229.21,9.447065309,9,2,0,0,1,1,1,1,1,0,1,0,0,0,1,0,140.00128,1340.930156,5,6,4,2,5,3,3,3,0,1,1,0,0,0,0,0
"25",1,66,25397.44,16.84100845,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,184.964681,1113.993679,4,4,3,4,2,4,4,5,1,0,0,1,0,0,1,0
"26",1,72,50336.5,7.972937227,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,147.473844,1530.10769,3,4,3,6,4,4,6,2,1,0,0,1,1,0,1,0
"27",3,21,38211.37,11.42906608,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,172.457857,1310.137419,5,2,3,3,3,5,4,4,0,1,0,0,0,0,1,0
"28",3,55,52887.26,8.06137096,16,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,107.481989,892.8964931,3,3,2,3,5,4,3,3,1,0,0,0,1,0,0,0
"29",4,41,12003.33,12.54780492,11,1,2,0,1,0,1,1,1,0,0,1,1,1,0,1,255.141716,1125.581944,3,3,3,5,1,4,3,4,1,0,0,1,1,0,1,0
"30",4,32,24090.62,8.255565152,13,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,192.456745,2016.710031,3,3,3,3,4,3,3,4,1,0,0,1,1,0,1,0
"31",2,44,54458.38,10.58349704,5,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,245.174977,1710.689671,3,3,2,2,4,3,5,2,0,1,0,0,0,0,0,1
"32",2,23,132116.33,12.50184778,11,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,184.964681,2384.885909,4,4,5,2,2,4,3,3,1,0,0,0,1,0,1,0
"33",3,43,37358.13,9.750038902,11,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,195.006206,1213.940165,4,5,3,4,3,3,4,3,1,0,0,0,0,0,1,0
"34",1,86,26534.16,7.868660851,11,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,104.962874,740.010722,3,4,3,2,3,3,3,3,0,0,0,1,0,0,0,1
"35",2,84,76430.83,12.43563329,14,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,92.488023,897.9716153,3,3,4,3,5,3,3,4,1,0,0,0,0,0,0,1
"36",5,68,43820.85,8.015021713,12,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,187.656013,1234.244324,2,3,3,5,4,2,3,2,0,1,0,0,0,0,0,1
"37",0,31,44137.6,11.13960534,6,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,169.944668,452.8721504,4,4,3,4,4,4,2,3,0,1,1,0,0,0,1,0
"38",1,58,62359.91,10.91594785,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,129.962093,1840.628269,3,4,3,6,3,4,5,3,1,0,1,0,0,0,0,0
"39",1,33,15690.25,11.4487514,11,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,142.515576,958.1397059,4,5,5,5,4,4,4,5,0,0,0,1,0,0,0,1
"40",1,58,14568.7,10.22013704,15,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1,220.14775,1868.864027,3,5,3,2,4,5,5,4,1,0,0,1,1,0,0,1
"41",0,49,29207.46,8.425458142,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,124.97808,676.712908,5,5,3,4,4,5,5,4,0,0,0,1,0,0,1,0
"42",1,26,55319.23,8.386280619,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,164.964681,1086.990308,5,5,4,4,3,4,4,4,1,0,1,0,0,0,0,0
"43",0,42,100076.65,10.79349982,14,3,0,0,1,0,1,0,1,1,0,0,0,1,1,1,152.455519,1416.444695,5,5,5,4,3,2,4,4,0,0,0,0,0,0,0,0
"44",1,43,34883.69,13.55065547,13,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,127.488728,1083.610268,4,4,4,3,4,4,3,3,1,0,0,0,0,0,0,1
"45",2,63,45634.2,9.470419821,14,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,184.963371,1570.641337,3,4,3,3,4,4,4,3,0,1,0,1,1,0,0,0
"46",3,70,10964.73,6.194985909,11,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,265.146969,1007.425553,3,3,2,4,4,3,3,3,1,0,0,0,0,0,1,0
"47",1,78,22365.28,10.80393657,19,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,207.609354,1323.028419,4,4,3,6,2,5,7,4,0,1,0,0,1,0,1,0
"48",0,48,52636.6,7.903964267,17,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,152.462354,1808.730555,3,1,2,2,5,2,2,1,0,1,0,0,1,0,0,0
"49",1,63,19048.13,11.27443693,18,2,1,1,1,0,1,0,0,0,1,0,1,1,1,1,200.132293,1120.241472,4,4,4,5,4,4,4,3,1,0,0,0,0,0,0,0
"50",0,87,77996.88,7.969277912,17,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,255.119794,1268.086909,3,3,4,5,4,3,5,4,0,0,1,0,1,0,0,0
"51",3,35,7724.73,6.258356398,9,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,255.137219,1577.915603,4,3,2,3,3,3,3,4,0,1,0,0,1,0,1,0
"52",2,67,81124.71,12.43301273,13,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,270.160419,1648.102673,3,3,4,3,5,3,3,4,0,0,1,0,0,0,0,0
"53",4,46,11795.57,7.607663559,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,200.165175,768.0874545,1,1,2,2,3,1,3,2,0,0,0,1,0,0,0,1
"54",1,24,19038.78,13.04429298,18,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,240.114868,2660.503932,4,4,5,1,4,4,3,3,0,0,0,0,0,0,1,0
"55",0,20,79167.77,14.89762162,17,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,127.495766,1129.549713,3,4,3,4,5,4,3,3,0,0,0,0,1,0,1,0
"56",1,29,37428.26,13.79387475,13,2,1,0,1,0,1,0,0,0,0,0,1,1,0,1,187.609354,1771.286466,3,4,3,2,5,3,3,4,0,1,1,0,0,0,0,0
"57",0,31,45148.38,15.66367593,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,169.992756,943.3391244,3,3,3,4,4,3,4,4,0,0,0,0,1,0,1,0
"58",4,71,45323.86,8.265002035,10,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,120.004928,1885.939118,4,4,3,3,4,3,2,5,0,1,0,0,1,0,0,0
"59",2,32,71596.14,8.6026551,11,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,195.006206,631.7435653,5,3,5,5,3,3,5,2,1,0,1,0,0,0,1,0
"60",0,33,10389.95,6.03993035,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,139.95684,562.6095219,3,3,4,3,3,4,3,6,0,0,1,0,1,0,1,0
"61",3,67,19657.14,14.6040829,12,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,114.983787,593.8572264,3,3,2,2,5,4,2,3,1,0,0,0,1,0,0,1
"62",0,61,19815.63,11.59313893,13,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,134.950905,393.6524652,3,2,3,4,3,4,5,4,0,1,1,0,0,0,1,0
"63",0,75,58482.9,8.294186076,13,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,192.470522,409.7486664,3,3,3,3,3,4,3,3,0,0,0,0,0,0,1,0
"64",0,63,41656.53,15.19664016,9,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,222.628057,2138.107161,3,2,3,2,4,3,2,4,0,1,0,0,0,0,0,0
"65",0,68,115510.46,5.083995994,3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,162.468917,443.984031,2,2,2,4,3,3,4,3,1,0,0,1,0,0,1,0
"66",2,32,15841.19,6.942719201,7,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,159.979358,2481.385603,2,2,3,3,3,3,3,3,1,0,0,1,1,0,0,0
"67",0,76,81127.41,9.834012571,7,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,184.979684,2233.567181,3,2,3,4,2,4,5,3,1,0,0,1,1,0,0,0
"68",0,29,24270.88,11.0596826,13,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,245.145743,1158.91369,5,5,4,5,1,5,5,4,1,0,0,0,0,0,1,0
"69",10,23,64816.84,5.271228601,14,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,187.484705,1956.7337,3,2,2,4,3,2,3,2,1,0,0,0,1,0,1,0
"70",5,80,103311.26,9.394961367,15,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,162.500692,2056.386979,5,4,4,3,4,4,5,5,0,0,0,0,1,0,1,0
"71",0,20,40211.04,14.4754365,11,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,182.467607,1067.373076,3,4,3,5,2,6,6,6,1,0,1,0,1,0,1,0
"72",0,69,58077.38,10.68311773,12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,222.660939,1806.135733,3,2,3,5,3,4,4,3,0,1,0,0,1,0,0,1
"73",0,53,23289.77,12.40165307,19,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,220.161527,808.4305471,2,4,3,2,3,3,5,3,0,1,0,0,0,0,0,1
"74",2,25,49158.49,10.24782033,9,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,169.937833,1886.531937,4,4,3,4,3,3,3,4,0,0,0,1,1,0,1,0
"75",0,69,3805.84,14.86100819,16,0,2,0,1,0,0,1,0,1,1,0,1,0,1,1,204.963371,2294.781131,3,3,3,3,2,4,4,4,1,0,0,0,1,0,1,0
"76",3,71,52616.27,6.716953195,10,2,1,0,0,0,1,1,0,1,1,0,1,0,0,1,204.963371,826.3438621,3,5,3,2,4,2,4,2,0,1,0,0,1,0,1,0
"77",3,53,30550.42,8.124258176,18,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,245.128318,2072.564168,3,3,2,4,3,2,4,3,0,1,0,0,0,0,0,0
"78",2,56,12154.01,14.60903837,11,0,2,0,0,1,1,1,0,1,0,1,1,0,1,1,172.473314,1436.793746,4,4,3,3,5,3,2,2,0,1,0,0,0,1,0,1
"79",0,42,30649.31,12.65015936,9,2,2,0,1,0,0,1,0,0,0,1,0,1,0,1,172.456745,1963.332683,4,3,4,3,5,4,2,3,1,0,0,0,1,0,0,0
"80",3,33,31417.33,12.0281501,14,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,194.976769,1324.164906,2,2,2,2,4,2,3,2,1,0,0,0,1,0,1,0
"81",1,48,9044.26,11.30421466,18,3,1,0,1,1,1,1,0,0,1,0,0,1,1,1,192.470522,888.6517305,3,4,4,4,2,3,4,4,0,1,0,1,0,0,1,0
"82",0,63,25381.66,10.26646787,10,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,159.951231,377.0810282,4,3,4,2,3,3,3,3,0,0,0,0,0,0,1,0
"83",1,40,65064.31,7.56618217,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,112.455141,1606.489936,3,3,3,3,3,3,3,4,0,1,0,0,1,0,1,0
"84",0,56,35499.06,7.146124361,13,3,0,1,0,0,1,0,1,1,0,0,1,0,0,0,162.452604,2253.85247,6,5,4,4,4,3,5,3,0,1,0,0,0,0,1,0
"85",2,79,51237.28,10.61217014,12,3,0,0,0,1,1,1,0,1,1,0,1,1,1,0,275.133571,1701.457566,4,5,4,4,1,4,4,4,0,1,0,1,0,0,1,0
"86",3,61,64222.21,5.785085772,16,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,127.442069,1290.737183,4,3,4,5,3,5,4,4,0,0,0,0,1,0,0,0
"87",0,38,11014.98,9.062879297,11,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,210.138,1403.270091,4,4,4,4,3,4,4,4,0,1,0,1,1,0,0,1
"88",4,28,21172.49,16.54443477,13,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,147.456419,2603.903672,5,4,5,2,3,4,4,3,0,0,0,1,0,0,0,0
"89",3,44,26130.78,4.539566699,8,2,0,0,1,1,1,1,0,1,1,0,1,1,1,1,242.657291,1256.287854,4,4,2,3,3,4,5,5,0,1,1,0,1,0,0,1
"90",1,65,36478.21,7.251198724,14,2,0,1,0,1,1,0,0,1,0,1,0,0,1,0,114.983787,980.9935923,2,2,3,4,3,3,4,4,1,0,0,0,1,0,0,1
"91",2,31,37103.18,12.57884215,9,3,1,0,1,0,1,1,0,0,1,0,1,0,0,0,149.991327,1127.267848,2,2,3,5,5,1,2,2,1,0,0,1,0,0,0,1
"92",2,68,95028.57,6.076260652,13,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,220.161527,1038.745378,3,3,3,3,4,3,3,3,0,1,0,0,1,0,0,1
"93",0,62,34281.1,11.75681641,9,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,172.48852,1531.155367,5,5,4,2,5,3,4,3,0,1,0,1,1,0,0,0
"94",0,52,36240.81,9.173739977,14,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,120.004928,991.2441024,4,4,5,3,3,4,4,5,0,1,0,1,1,0,0,0
"95",0,47,125814.88,10.74539526,10,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,139.965008,1162.332926,3,3,4,2,4,4,3,2,0,0,0,0,0,0,0,0
"96",8,66,12995.68,11.36323648,12,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,159.951231,577.1157824,3,3,3,6,3,6,5,4,0,0,0,0,0,0,1,0
"97",1,70,77531.43,2.310584634,14,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,184.949594,1442.974877,2,3,2,4,4,2,1,3,0,0,0,0,0,0,0,0
"98",2,59,76567.85,5.258274954,8,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,112.455141,886.9398744,4,5,4,4,4,4,5,4,1,0,0,0,1,0,1,0
"99",1,46,30663.52,7.157580014,12,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,179.979358,1065.06443,4,3,4,4,5,2,3,3,0,0,0,1,1,0,1,0
"100",3,70,122957.19,2.120350511,17,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,202.443347,951.886985,3,3,3,4,3,4,3,2,1,0,1,0,1,0,1,0
"101",1,84,28622.6,11.29945603,14,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,192.440432,513.237305,4,5,3,4,4,2,4,2,0,0,0,0,0,0,1,0
"102",10,76,35954.77,13.71555406,14,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,137.461553,819.4195269,4,4,3,3,2,3,4,2,1,0,0,0,1,0,0,1
"103",8,75,36342.31,15.40917963,15,2,0,0,0,0,1,1,0,1,1,1,1,0,0,1,217.472533,882.1160656,5,4,4,4,3,5,5,3,0,0,0,0,1,0,1,0
"104",1,49,23204.98,10.18046877,10,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,104.964303,1829.270014,5,4,5,2,4,5,4,3,1,0,0,1,1,0,0,0
"105",3,26,29950.47,12.34250072,12,2,1,0,1,1,1,1,1,1,0,0,0,1,1,1,184.961033,1248.097652,3,4,3,3,4,4,4,4,1,0,0,0,0,0,0,0
"106",4,55,49421.69,10.29380879,12,3,0,0,1,0,1,1,1,1,1,0,0,1,1,0,217.483972,2220.255405,4,4,3,5,4,3,3,4,0,1,1,0,1,0,1,0
"107",1,46,11061.05,8.512650562,11,2,1,0,1,0,1,0,0,0,0,1,1,1,0,0,220.118516,1669.202417,3,4,4,4,2,5,3,4,0,1,0,1,0,0,1,0
"108",0,87,15388.32,7.82671592,13,1,2,1,1,0,1,0,0,0,0,1,1,1,1,1,187.642236,990.0555076,4,4,3,3,4,4,4,2,1,0,1,0,0,0,0,1
"109",1,39,20624.31,6.985590245,9,2,1,1,0,1,1,0,1,1,0,1,1,0,1,0,174.961766,967.9819136,4,5,4,4,3,3,3,5,0,0,0,1,1,0,1,0
"110",0,83,46154.17,10.44249511,13,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,130.024412,1445.752781,3,4,4,1,3,4,4,4,1,0,1,0,1,0,0,1
"111",0,50,107111.8,15.38627887,12,2,0,0,0,0,1,0,1,0,1,0,0,1,0,1,162.482694,528.6553088,3,3,2,3,4,4,4,3,0,1,0,0,0,0,1,0
"112",3,76,22412.6,10.62439366,13,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,139.934918,1195.393037,2,3,4,4,3,3,1,3,0,0,0,1,0,0,0,0
"113",6,25,19476.27,10.91642397,13,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,200.165175,1700.121992,2,2,3,2,5,4,4,3,1,0,0,1,0,0,0,1
"114",1,46,28022.56,8.996933306,11,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,159.951231,1238.421347,4,5,5,2,3,5,4,5,1,0,0,1,0,0,1,0
"115",1,73,35478.4,7.602570192,7,2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,149.948316,847.110799,4,3,2,3,5,2,4,2,1,0,0,0,0,0,1,0
"116",8,57,10155.51,9.217689334,12,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,149.959755,1112.937102,5,6,4,4,3,5,5,4,1,0,0,0,0,0,1,0
"117",3,58,87537.25,9.591529444,14,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,137.469817,1623.045026,2,3,3,4,2,4,3,5,0,0,0,1,1,0,0,0
"118",0,53,32653.51,4.372034777,7,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,164.985293,2144.735024,3,3,3,2,7,3,4,3,1,0,0,0,1,0,0,0
"119",0,31,35321.46,10.59285179,11,0,3,0,1,0,1,0,0,0,1,0,0,1,0,1,159.965008,1522.289512,2,3,3,5,4,3,2,3,1,0,0,0,1,0,1,0
"120",0,38,49277.48,12.81260566,10,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,172.462354,1974.780054,4,4,4,5,2,4,4,3,1,0,1,0,0,0,1,0
"121",0,26,37297.82,3.767298987,11,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,204.949594,1261.177198,2,2,4,4,4,5,4,4,0,0,0,1,0,0,1,0
"122",3,66,24702.68,11.2369761,11,3,2,1,0,0,1,0,0,0,1,1,1,0,0,1,162.471255,1357.062854,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0
"123",1,58,87535.71,8.54892416,15,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,119.95684,1456.887443,3,2,3,3,4,2,3,3,1,0,0,1,1,0,0,0
"124",6,51,63166.87,6.094109902,11,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,207.609354,937.5863866,3,4,4,3,4,4,3,4,0,0,1,0,0,0,1,0
"125",4,34,11856.81,13.9077275,14,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,194.999168,830.1193011,3,2,3,3,4,4,3,4,0,1,1,0,0,0,0,1
"126",0,87,27326.79,7.905333122,14,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,174.975543,737.8564608,3,4,2,3,4,4,4,4,0,0,0,1,0,1,1,0
"127",4,59,25519.91,12.8219418,12,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,240.114868,2464.577489,4,3,3,4,3,4,4,3,0,1,0,0,0,1,1,0
"128",7,23,46871.21,8.941553742,10,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,139.983006,2392.203409,5,4,5,5,1,6,5,5,0,1,1,0,1,0,0,0
"129",2,81,90977.74,10.76051016,10,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,147.456419,823.4933243,4,4,2,2,4,3,3,4,0,1,0,1,0,0,0,0
"130",1,51,47726.25,8.174495258,8,5,0,0,0,1,1,0,1,1,1,0,0,1,1,1,152.502178,590.7765801,1,3,2,3,4,3,3,3,0,0,0,0,0,0,0,1
"131",1,70,51721.64,10.05388383,12,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,79.978861,418.6206885,4,3,1,2,5,3,4,3,1,0,1,0,0,0,0,1
"132",4,44,11518.58,13.41209586,11,3,0,1,0,0,1,0,1,1,0,0,0,1,1,1,152.455519,1205.956363,2,2,1,5,3,4,4,3,1,0,0,1,1,0,0,0
"133",0,33,31065.17,14.89835355,9,2,1,0,0,0,1,0,1,1,0,1,1,0,0,0,174.961766,1261.032763,4,3,4,4,3,3,5,4,0,1,0,0,0,0,1,0
"134",4,43,35539.7,7.765121655,11,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,139.965008,1363.58603,5,5,3,4,4,3,2,5,0,1,0,1,1,0,0,0
"135",1,82,27959.34,7.130431693,5,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,137.439154,472.1057019,2,2,3,5,3,1,2,3,1,0,0,0,1,0,1,0
"136",6,36,52232.97,8.359515606,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,102.474625,558.2340556,2,2,1,5,4,3,4,3,0,0,0,0,0,0,0,1
"137",1,48,18198.59,9.42799205,17,3,0,0,1,1,1,1,0,0,1,0,1,1,1,1,252.637807,815.194738,4,3,4,3,3,3,3,5,1,0,0,0,1,0,1,0
"138",0,52,16851.94,10.95510131,11,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,194.999168,2007.303617,4,2,3,4,2,5,4,3,0,0,0,0,1,0,0,1
"139",1,35,16440.05,10.8621377,16,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,242.610632,2088.48083,5,4,5,4,3,4,3,5,1,0,0,0,0,1,0,0
"140",3,83,44223.58,7.352533505,15,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,127.458638,1430.761492,2,3,1,3,3,1,4,3,1,0,0,0,0,0,0,1
"141",1,54,26676.4,9.982341124,8,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,169.944668,758.4775985,2,3,2,3,5,2,3,2,1,0,1,0,0,0,1,0
"142",2,75,31136.77,10.70500472,14,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,119.95684,1639.898269,4,4,4,4,2,5,5,4,1,0,0,0,0,0,0,0
"143",5,66,40660.84,11.58410296,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,137.439154,710.7541633,4,3,4,3,5,4,3,3,0,1,0,0,1,0,1,0
"144",0,51,10606.59,8.01651453,12,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,207.46728,1092.226042,4,3,3,5,3,5,5,4,1,0,0,1,0,0,1,0
